# Identifier (Identifier der Ressource im Quellsystem des Publishers): Traktanden_SR_2018_bis_Heute_CSV
# Titel (Titel der Datei): Traktanden_SR_2018 bis heute mit Beschlüsse
# Beschreibung (Datei-Informationen): Die Traktandenliste aller Geschäfte und Beschlüsse zu den Stadtratssitzungen der Stadt Bern.
# Sprache (Sprache in der diese Datei vorliegt): Deutsch
# Erstellt (Datum der Veröffentlichung dieser Datei): 01.12.2017
# Geändert (Datum der letzten Änderung dieser Datei): 27.05.2019
# Nutzungsbedingungen (Art der Nutzung und Angabepflicht): Freie Nutzung - Quellenangben ist Pflicht (Autor, Titel und Link zum Datensatz).
# Zugangs-URL (Die URL über welche auf die Ressource zugegriffen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd
# Download-URL (URL der Datei um die Ressource direkt heruntergeladen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd/download-stadtraetische-traktanden-und-beschluesse-ogd/traktanden-sr-2018-bis-heute-mit-beschluesse.txt/download
# Dateigrösse (Angabe in Bytes): 196608
# Dateiformat (Datei Typ und Kürzel des Formats): CSV
# Autor der Datei (Ein oder mehrere Autoren dieser Datei): Ratssekretariat des Stadtrats der Stadt Bern
# Dateibezogene Zusatzinformationen (Der richtige Umgang und Interpretation die es ggf. zu berücksichtigen gilt.): Weitere Informationen zu den einzelnen Traktanden und Geschäfte finden Sie als PDF Datei unter https://www.bern.ch/politik-und-verwaltung/stadtrat/sitzung-geschaeft.



Datum;Traktanden Nr.;Traktandierungstitel;Beschluss Nr.;Traktandumstatus;Beschluss
06.06.2019;27;Motion Fraktion GFL/EVP (Manuel C. Widmer, GFL): Citylogistic: Dem zunehmenden Lieferverkehr zukunftsgerichtet und nachhaltig begegnen;;Traktandiert;
06.06.2019;26;Interfraktionelles Postulat GLP/JGLP, FDP/JF, GFL/EVP (Maurice Lindgren, JGLP/Barbara Freiburghaus, FDP/Danielle Cesarov-Zaugg, GFL): Von der Digitalisierung im Bauwesen profitieren – Mit BIM in die Zukunft;;Traktandiert;
06.06.2019;25;Interfraktionelle Interpellation GLP/JGLP, GFL/EVP (Matthias Egli, GLP/Matthias Stürmer, EVP/Danielle Cesarov-Zaugg, GFL): Koordination und Entwicklung Smart City Stadt Bern;;Traktandiert;
06.06.2019;24;Motion Rolf Zbinden (PdA): Jedem Kind ein Instrument;;Traktandiert;
06.06.2019;23;Postulat Fraktion GB/JA! (Franziska Grossenbacher/Regula Tschanz, GB): „Kalkbreite“ am Eigerplatz;;Traktandiert;
06.06.2019;22;Motion Fraktion GB/JA! (Franziska Grossenbacher/Regula Tschanz, GB): „Kalkbreite“ am Eigerplatz;;Traktandiert;
06.06.2019;21;Motion David Stampfli (SP): Rechtsabbiegen bei Rot für Velofahrende gestatten;;Traktandiert;
06.06.2019;20;Motion Fraktion GB/JA! (Regula Tschanz, GB/Seraina Patzen, JA!): Velofreundliche Lichtsignalanlagen – Rechtsabbiegen bei Rot an Kreuzungen ermöglichen;;Traktandiert;
06.06.2019;19;Interfraktionelle Motion GFL/EVP, SP/JUSO, FDP (Ueli Stückelberger, GFL/Gisela Vollmer, SP/Karin Feuz-Ramseyer, FDP/Christoph Müller, FDP): Helvetiaplatz: Mit städtebaulicher Aufwertung nicht zuwarten, sondern jetzt in Etappen beginnen;;Traktandiert;
06.06.2019;18;Motion Tabea Rai und Angela Falk (AL): Motorisierter Privatverkehr führt in die Sackgasse – für mehr Sackgassen in Bern;;Traktandiert;
