# Identifier (Identifier der Ressource im Quellsystem des Publishers): Traktanden_SR_2018_bis_Heute_CSV
# Titel (Titel der Datei): Traktanden_SR_2018 bis heute mit Beschlüsse
# Beschreibung (Datei-Informationen): Die Traktandenliste aller Geschäfte und Beschlüsse zu den Stadtratssitzungen der Stadt Bern.
# Sprache (Sprache in der diese Datei vorliegt): Deutsch
# Erstellt (Datum der Veröffentlichung dieser Datei): 01.12.2017
# Geändert (Datum der letzten Änderung dieser Datei): 27.05.2019
# Nutzungsbedingungen (Art der Nutzung und Angabepflicht): Freie Nutzung - Quellenangben ist Pflicht (Autor, Titel und Link zum Datensatz).
# Zugangs-URL (Die URL über welche auf die Ressource zugegriffen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd
# Download-URL (URL der Datei um die Ressource direkt heruntergeladen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd/download-stadtraetische-traktanden-und-beschluesse-ogd/traktanden-sr-2018-bis-heute-mit-beschluesse.txt/download
# Dateigrösse (Angabe in Bytes): 196608
# Dateiformat (Datei Typ und Kürzel des Formats): CSV
# Autor der Datei (Ein oder mehrere Autoren dieser Datei): Ratssekretariat des Stadtrats der Stadt Bern
# Dateibezogene Zusatzinformationen (Der richtige Umgang und Interpretation die es ggf. zu berücksichtigen gilt.): Weitere Informationen zu den einzelnen Traktanden und Geschäfte finden Sie als PDF Datei unter https://www.bern.ch/politik-und-verwaltung/stadtrat/sitzung-geschaeft.



Datum;Traktanden Nr.;Traktandierungstitel;Beschluss Nr.;Traktandumstatus;Beschluss
21.03.2019;67;Interfraktionelles Postulat FDP/JF, BDP/CVP, GLP/JGLP, GFL/EVP (Tom Berger, JF/Milena Daphinoff, CVP/Claude Grosjean, GLP/Manuel C. Widmer/Brigitte Hilty Haller, GFL): Zeitgemässe Rahmenbedingungen für die Stadtberner Kultur- und Gastronomiebetriebe;2019-166;Beschlossen;Verschiebung
21.03.2019;102;Postulat Fraktion SP/JUSO (Peter Marbet, SP): Für einen starken Bildungsstandort Bern;2019-201;Beschlossen;Verschiebung
21.03.2019;103;Motion Fraktion SP/JUSO (Halua Pinto de Magalhães/Fuat Köçer, SP): Ganzjähriges Aktionsprogramm gegen Rassismus – Neuauflage der Aktionswoche gegen Rassismus zum zehnjährigen Jubiläum;2019-202;Beschlossen;Verschiebung
21.03.2019;39;Interfraktionelle Motion GLP/JGLP, BDP/CVP, SP/JUSO, GFL/EVP (Matthias Egli, GLP/Michael Daphinoff, CVP/Benno Frauchiger, SP/Franziska Grossenbacher, GB/Matthias Stürmer, EVP): Elektroautos als Teil der Mobilität in Bern anerkennen und geeignete Anreize schaffen;2019-138;Beschlossen;Verschiebung
21.03.2019;104;Motion Fraktion GFL/EVP (Manuel C. Widmer, GFL): Keine Festvermietungen von Rasenplätzen auf Berner Schulgeländen!;2019-203;Beschlossen;Verschiebung
21.03.2019;86;Motion Fraktion AL/GPB-DA/PdA+ (Christa Ammann, AL): Verzicht auf Herbizide und andere Pestizide bei den städtisch bewirtschafteten Weingütern!;2019-185;Beschlossen;Verschiebung
21.03.2019;66;Motion Fraktion GFL/EVP (Lukas Gutzwiller, GFL/Bettina Jans-Troxler, EVP): Runde Tische für die Stadtberner Immobilienbesitzenden zur Förderung von energetischen Gebäudesanierungen;2019-165;Beschlossen;Erheblicherkl. als Richtlinie
21.03.2019;79;Interpellation Fraktion SVP (Alexander Feuz/Stefan Hofer, SVP): Gibt es in der Stadt Bern nebst der Schulzahnklinik auch noch in anderen Direktionen Fälle, in denen im Personalbereich hohe Abgangsentschädigungen ausbezahlt werden mussten?;2019-178;Beschlossen;Kenntnis
21.03.2019;20;Motion Fraktion SP Fuat Köçer, SP): Historische Denkmäler beschriften, Berner Geschichte der Öffentlichkeit näherbringen;2019-119;Beschlossen;Erheblicherkl. als Postulat
21.03.2019;11;Interpellation Fraktion SVP (Alexander Feuz, SVP): Asbest im Kirchenfeldschulhaus: Deus ex Machina? Corriger la fortune? Oder ein Schelm, wer Böses denkt;2019-110;Beschlossen;Kenntnis
21.03.2019;21;Motion Fraktion SP (Peter Marbet/Michael Sutter, SP): Weyermannshaus: Mehr Qualität im Aussenraum I – Schaffen eines Quartierzentrums;2019-120;Beschlossen;Verschiebung
21.03.2019;22;Motion Fraktion SP (Peter Marbet/Michael Sutter, SP): Weyermannshaus: Mehr Qualität im Aussenraum II – Schaffen des Grünraums Stadtbach;2019-121;Beschlossen;Verschiebung
21.03.2019;27;Postulat Fraktion SP (Stefan Jordi, SP): Kasernenareal Bern: Wieso wird das brachliegende Potential nicht besser genutzt?;2019-126;Beschlossen;Erheblicherkl.
21.03.2019;24;Motion Fraktion FDP (Bernhard Eicher, FDP): Bewilligungsverfahren für alle Kulturschaffenden vereinfachen;2019-123;Beschlossen;Verschiebung
21.03.2019;25;Motion Fraktion FDP (Bernhard Eicher, FDP): Unternehmerische Kulturschaffende stärken;2019-124;Beschlossen;Verschiebung
21.03.2019;68;Postulat Hans Ulrich Gränicher (SVP): Fehlende Beschilderung von touristisch wichtigen Objekten und Sehenswürdigkeiten in der Stadt Bern – Ausarbeiten eines Konzepts und Realisierung fehlender Wegweiser und Routeninformation;2019-167;Beschlossen;Genehmigung Prüf.bericht
21.03.2019;100;Interpellation Christa Ammann (AL): SozialdetektivInnen in Bern – Welche Folgen hat das Urteil des Europäischen Gerichtshofs für Menschenrechte für die SozialdetektivInnen in Bern?;2019-199;Beschlossen;Verschiebung
21.03.2019;80;Interpellation Fraktion GLP (Melanie Mettler, GLP): Zukunft der Verbreitung amtlicher Bekanntmachungen;2019-179;Beschlossen;Verschiebung
21.03.2019;106;Postulat Fraktion GFL/EVP (Manuel C. Widmer, GFL): Angemessene und einheitliche Mitwirkung der LehrerInnen sicherstellen!;2019-205;Beschlossen;Verschiebung
21.03.2019;107;Interfraktionelles Postulat GB/JA!, SP (Regula Bühlmann, GB/Johannes Wartenweiler, SP): Gleich lange Spiesse – Faire Arbeitsbedingungen für das Personal in Kindertagesstätten;2019-206;Beschlossen;Verschiebung
21.03.2019;112;Postulat Fraktion GB/JA! (Regula Bühlmann, GB): Elternbeiträge an Kinderbetreuung auf europäisches Niveau senken;2019-211;Beschlossen;Verschiebung
21.03.2019;81;Interpellation Fraktion SVP (Alexander Feuz, SVP): Wie ernst nimmt der Gemeinderat kritische Parlamentarier und Bürger? Sind Treu und Glauben im staatlichen Handeln des Gemeinderates gewährleistet?;2019-180;Beschlossen;Verschiebung
21.03.2019;88;Postulat Fraktion SP/JUSO (Katharina Altas, SP): Mehr günstige Räume für Kultur und Bildung dank besserer Zusammenarbeit zwischen Immobilien Stadt Bern (ISB)/Koordinationsstelle Zwischennutzung und Jugendamt/Kultur Stadt Bern;2019-187;Beschlossen;Verschiebung
21.03.2019;113;Interpellation Fraktion SVP (Henri-Charles Beuchat, SVP): Religiös motivierte Dispensation vom Schwimm- und Sportunterricht in der Stadt Bern;2019-212;Beschlossen;Verschiebung
21.03.2019;28;Postulat Fraktion GB/JA! (Regula Tschanz, GB): Barrierefreier Webauftritt für die Stadt Bern;2019-127;Beschlossen;Genehmigung Prüf.bericht
21.03.2019;23;Interfraktionelle Motion SP, GB/JA! (Peter Marbet, SP/Franziska Grossenbacher, GB): Arealentwicklung Güterstrasse-Weyermannsstrasse an die Hand nehmen;2019-122;Beschlossen;Erheblicherkl.
21.03.2019;55;Motion Fraktion SP (Fuat Köçer/Michael Sutter, SP): Verbindung und Erweiterung der Pilotprojekte Tempo 30 Loryplatz und Brunnmattstrasse im Bereich Brunnhof;2019-154;Beschlossen;Verschiebung
21.03.2019;114;Motion Fraktion SP (Halua Pinto de Magalhães): Westwind plus – Kinder- und Jugendkulturprojekt für Holligen;2019-213;Beschlossen;Verschiebung
21.03.2019;26;Motion Henri-Charles Beuchat (SVP): Kulturaustausch – Schluss mit gratis Ausland-Trip auf Kosten der Steuerzahler;2019-125;Beschlossen;Ablehnung
21.03.2019;116;Postulat Michael Daphinoff und Milena Daphinoff (CVP): Weiterführung der kirchlichen Infrastruktur mit weltlicher Ausrichtung;2019-215;Beschlossen;Verschiebung
21.03.2019;101;Interpellation Fraktion SVP (Alexander Feuz, SVP): Zum Postulat „Zufluchtstadt Bern“: Weshalb verheimlicht der Gemeinderat dem Stadtrat die hohen Folgekosten der Annahme dieses Postulats?;2019-200;Beschlossen;Verschiebung
21.03.2019;109;Motion Fraktion SP/JUSO (Peter Marbet/Nadja Kehrli-Feldmann, SP): Ganztageskindergärten schaffen;2019-208;Beschlossen;Verschiebung
21.03.2019;29;Motion Fraktion SVP (Roland Iseli, SVP): Neuer Standort für das Politforum Käfigturm;2019-128;Beschlossen;Erheblicherkl. als Postulat
21.03.2019;48;Motion Fraktion GFL/EVP (Manuel C. Widmer, GFL/Bettina Jans-Troxler, EVP): Zäme geits: Sharing is caring – GiveBoxes und ähnliches unbürokratisch ermöglichen;2019-147;Beschlossen;Erheblicherkl. als Richtlinie
21.03.2019;10;Interpellation Henri-Charles Beuchat (SVP): Einholung einer Stellungnahme bei der AK zum revidierten kantonalen Polizeigesetz vom 21. September 2016 – Gewaltentrennung auf dem Prüfstand;2019-109;Beschlossen;Kenntnis
21.03.2019;17;Motion Fraktion SVP (Erich Hess, SVP): Listenverbindungen bei Gemeinderatswahlen;2019-116;Beschlossen;Verschiebung
21.03.2019;30;Postulat Fraktion SP/JUSO (Benno Frauchiger, SP): Elektroautos statt Benzinkutschen – auch für MieterInnen von Abstellplätzen;2019-129;Beschlossen;Verschiebung
21.03.2019;69;Interfraktionelle Interpellation GLP/JGLP, GFL/EVP (Matthias Egli, GLP/Matthias Stürmer, EVP/Danielle Cesarov-Zaugg, GFL): Koordination und Entwicklung Smart City Stadt Bern;2019-168;Beschlossen;Verschiebung
21.03.2019;49;Interfraktionelle Motion FDP/JF, GB/JA!, GLP/JGLP, GFL/EVP (Thomas Berger, JF/Regula Tschanz, GB/Maurice Lindgren, JGLP/Manuel C. Widmer, GFL): Nächtliche Öffnung der Münsterplattform als Pilotversuch;2019-148;Beschlossen;Verschiebung
21.03.2019;83;Motion Fraktion GB/JA! (Regula Tschanz, GB): Städtisches Lohnsystem auf den Stand der Zeit bringen;2019-182;Beschlossen;Verschiebung
21.03.2019;54;"Interpellation Alexander Feuz (SVP), Stefan Hofer (SVP), Luzius Theiler (GPB-DA): Ausbau S-Bahn Bern-Ostermundigen; Tramprojekt Länggasse-Wyler; Zusatzast Guisanplatz-Ostermundigen; ZMB Insel-Tram; weitere Doppelgelenkbusse: Ist die Tramplanung Ostermundigen überhaupt noch aktuell?";2019-153;Beschlossen;Kenntnis
21.03.2019;50;Postulat Fraktion GFL/EVP (Patrik Wyss, GFL): Eignet sich das Bord vor dem Grossen Länggassschulhaus für eine kleine Parkanlage?;2019-149;Beschlossen;Erheblicherkl.
21.03.2019;111;Interfraktionelle Motion GB/JA!, SP/JUSO, GFL/EVP (Regula Bühlmann, GB/Nadja Kehrli-Feldmann, SP/Brigitte Hilty Haller, GFL): Bedarfsgerechtes Angebot für betreute Tagesferien;2019-210;Beschlossen;Verschiebung
21.03.2019;71;Interfraktionelles Postulat GB/JA!, GFL/EVP, GLP/JGLP, SP/JUSO, FDP/JF (Regula Bühlmann, GB/Ursina Anderegg, GB/Matthias Stürmer, EVP/Marcel Wüthrich, GFL/Edith Siegenthaler, SP/Melanie Mettler, GLP/Dannie Jost, FDP): Nachhaltige Entwicklungsziele (SDG): Berns Beitrag zur Umsetzung der UN-Agenda 2030;2019-170;Beschlossen;Erheblicherkl.
21.03.2019;18;Motion Fraktion GLP (Melanie Mettler, GLP): Baudirektion statt Präsidialdirektion;2019-117;Beschlossen;Verschiebung
21.03.2019;19;Interfraktionelle Motion GFL/EVP, FDP, BDP/CVP (Matthias Stürmer, EVP/Manuel C. Widmer, GFL/Dannie Jost, FDP/Lionel Gaudy, BDP): Bärn wie neu: Melde-App für Mängel und Schäden der städtischen Infrastruktur;2019-118;Beschlossen;Erheblicherkl. als Richtlinie
21.03.2019;52;Postulat Tabea Rai (AL): Aarerutschbahn – für eine unkonventionelle Erschliessung des Aareraums;2019-151;Beschlossen;Erheblicherkl.
21.03.2019;53;Postulat Fraktion SP/JUSO (Peter Marbet, SP/Mohamed Abdirahim, JUSO): Stundentakt für Moonliner;2019-152;Beschlossen;Erheblicherkl.
21.03.2019;115;Interfraktionelle Motion GLP/JGLP, FDP/JF, GFL/EVP, BDP/CVP (Claude Grosjean, GLP/Thomas Berger, JF/Patrik Wyss, GFL/Philip Kohli, BDP): Fertig usebschliesse: Pilotversuch für längere Öffnungszeiten für ausgewählte Schul- und Sportanlagen in den Quartieren;2019-214;Beschlossen;Verschiebung
21.03.2019;31;Motion Freie Fraktion AL/GPB-DA/PdA (Luzius Theiler, GPB-DA): Schnelle Anpassung des Reglements über die Planungsmehrwertabschöpfung und Offenlegung der Verwendung dieses Sonderkässelis;2019-130;Beschlossen;Abschreibung
21.03.2019;70;Motion Henri-Charles Beuchat (SVP): Willkür des Gemeinderates gegen bestimmte Altersgruppen im Bereich der Mobilität;2019-169;Beschlossen;Ablehnung
21.03.2019;110;Interfraktionelle Motion GB/JA!, SP/JUSO (Regula Bühlmann, GB/Nadja Kehrli-Feldmann, SP/Brigitte Hilty Haller, GFL): Ganztagesschulen für Bern – die Zukunft beginnt heute;2019-209;Beschlossen;Verschiebung
21.03.2019;51;Motion Fraktion SVP (Alexander Feuz, SVP): Der Hirschengraben muss aufgewertet werden! Grünraum/Erholungsraum statt trostloser Veloparkplatz!;2019-150;Beschlossen;Teilweise Erheblicherkl. als Richtlinie
21.03.2019;105;Postulat Henri-Charles Beuchat (SVP): Wahl in die Schulkommission soll kein Durchwinken von unbekannten Personen sein;2019-204;Beschlossen;Verschiebung
21.03.2019;75;Motion Fraktion AL/GPB-DA/PdA+ (Luzius Theiler, GPB-DA): Aufhebung der „Maulkorbrichtlinien“ zu Äusserungen städtischer MitarbeiterInnen in der Öffentlichkeit;2019-174;Beschlossen;Ablehnung
21.03.2019;87;Motion Fraktion SVP (Alexander Feuz, SVP): Zwischennutzungen städtischer Areale: Gleich lange Spiesse für alle! Transparenz und nicht rotgrüne Klientelpolitik ist gefordert!;2019-186;Beschlossen;Verschiebung
21.03.2019;76;Motion Fraktion SP/JUSO (Tamara Funiciello, JUSO/Johannes Wartenweiler, SP/Mohamed Abdirahim, JUSO): Hot Dogs für alle statt für wenige!;2019-175;Beschlossen;Genehmigung Prüf.bericht
21.03.2019;77;Interfraktionelle Motion FDP/JF, BDP/CVP, GLP/JGLP, GFL/EVP, SP/JUSO (Thomas Berger, JF/Vivianne Esseiva, FDP/Lionel Gaudy, BDP/Milena Daphinoff, CVP/Manuel C. Widmer, GFL/Lukas Meier, SP/Maurice Lindgren, JGLP): Gastronomiebetriebe in Stadtberner Bädern vom Badebetrieb trennen;2019-176;Beschlossen;Verschiebung
21.03.2019;78;Interfraktionelle Motion SP, AL/GPD-DA/PdA+, GB/JA!, GLP (Martin Krebs, SP/Christa Ammann, AL/Seraina Patzen, JA!/Melanie Mettler, GLP/Matthias Stürmer, EVP): Standplätze für Fahrende – Keine Räumung im Buech!;2019-177;Beschlossen;Verschiebung
14.03.2019;14;Dringliche Interpellation Zora Schneider (PdA): Drohende politische und finanzielle Kollateralschäden durch den E-Prix von Bern;2019-90;Beschlossen;Kenntnis
14.03.2019;2;Agglomerationskommission (AKO): Ersatzwahl;2019-78;Beschlossen;Wahl
14.03.2019;3;Wahl in Schulkommission (Schulkommission Bethlehem);2019-79;Beschlossen;Wahl
14.03.2019;4;Kleine Anfrage Fraktion SVP (Alexander Feuz/Hans Ulrich Gränicher, SVP): Nachfolge Stephan Märki bei KTB: Werden auch die Stellen der einzelnen Spartenleiter ausgeschrieben? Wie wird gewährleistet, dass ab 2021/2022 ein funktionsfähiges Team entsteht, das national wie international vernetzt ist?;2019-80;Beschlossen;Kenntnis
14.03.2019;5;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Was kostet uns die Zone für alternative Wohnformen? Bern als Eldorado für alternative Wohnformen?;2019-81;Beschlossen;Kenntnis
14.03.2019;6;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Einführung Schleichverkehr am Viktoriaplatz: wie wurden die betroffenen Kreise von der Stadt informiert?;2019-82;Beschlossen;Kenntnis
14.03.2019;7;Kleine Anfrage Luzius Theiler (GaP): Wieviel fliegt das Personal der Stadt Bern?;2019-83;Beschlossen;Kenntnis
14.03.2019;8;Kleine Anfrage Oliver Berger (FDP): Geplante Bremsmanöver MIV im Jahr 2019;2019-84;Beschlossen;Kenntnis
14.03.2019;1;Protokollgenehmigungen Stadtrat 2019 (Protokoll Nr. 1 vom 17.01.2019);2019-77;Beschlossen;Genehmigung
14.03.2019;9;"Revision Geschäftsreglement des Stadtrats; Änderungsantrag Fraktion SVP (Alexander Feuz, SVP): Die Wahlen des Ratspräsidiums inklusive des Vizepräsidiums (1. und 2. Vize) sowie der Kommissionspräsidien inklusive der Vizepräsidien erfolgen künftig offen; Zuweisung zur Vorberatung";2019-85;Beschlossen;Zuweisung
14.03.2019;10;"Gesamtsanierung Volksschule Elfenau Pavillons; Projektierungskredit";2019-86;Beschlossen;Bewilligung
14.03.2019;11;"Gesamtsanierung und Erneuerung Freibad Marzili; Projektierungskredit";2019-87;Beschlossen;Bewilligung
14.03.2019;12;"Sanierung Ostring; Ausführungskredit";2019-88;Beschlossen;Bewilligung
14.03.2019;13;Erneuerung Lichtsignalanlage Effinger-/Zieglerstrasse: Projektierungs- und Ausführungskredit;2019-89;Beschlossen;Bewilligung
14.03.2019;15;"Reglement vom 23. Mai 2002 über die Erteilung und Zusicherung des Bürgerrechts der Stadt Bern (Einbürgerungsreglement; EBR; SSSB 121.1), Totalrevision; 1. Lesung";2019-91;Beschlossen;Verabschiedung zuhanden 2. Lesung
14.03.2019;16;Interfraktionelle Motion GB/JA!, SP (Regula Bühlmann/Cristina Anliker-Mansour, GB/Patrizia Mordini, SP): Einbürgerungen sind kein Privileg!;2019-92;Beschlossen;Teilweise Erheblicherkl.
14.03.2019;17;Motion Fraktion SP/JUSO (Timur Akçasayar/Patrizia Mordini/Barbara Nyffeler, SP): Neues kantonales Bürgerrechtsgesetz (KBüG): Bei Einbürgerungen in der Stadt Bern auch die zweite Amtssprache anerkennen;2019-93;Beschlossen;Erheblicherkl.
14.03.2019;18;"Motion Fraktion GB/JA! (Regula Bühlmann/Cristina Anliker-Mansour, GB): Einbürgerungen im Rahmen der kantonalen Regelung!; Begründungsbericht";2019-94;Beschlossen;Kenntnis
14.03.2019;19;"Polizeiinspektorat: Einführung einer neuen Einwohnerdatenbank-Anwendung (CIVITAS); Investitions- und Verpflichtungskredit";2019-95;Beschlossen;Bewilligung
14.03.2019;20;"Abteilung Feuerwehr, Zivilschutz und Quartieramt der Stadt Bern: Beschaffung von zwei Mehrzweckfahrzeugen für die Milizfeuerwehr der Stadt Bern; Investitionskredit";2019-96;Beschlossen;Bewilligung
14.03.2019;21;Motion Fraktion FDP/JF (Christophe Weder, FDP): Aufhebung der Feuerwehr-/Zivilschutzkommission;2019-97;Beschlossen;Erheblicherkl. und Abschreibung
14.03.2019;22;Interfraktionelle Motion GB/JA!, GFL/EVP (Regula Tschanz, GB/Janine Wicki, GFL): Bern klimaneutral bis 2035;2019-98;Beschlossen;Verschiebung
14.03.2019;23;Interfraktionelle Motion GB/JA!, GFL/EVP (Franziska Grossenbacher, GB/Brigitte Hilty Haller, GFL): Bern klimaneutral bis 2035 (IV), Austausch und Beteiligung;2019-99;Beschlossen;Verschiebung
28.02.2019;4;"Leistungsverträge mit 22 Kulturinstitutionen für die Periode 2020 - 2023; Verpflichtungskredite (Abstimmungsbotschaft)";2019-60;Beschlossen;Bewilligung
28.02.2019;5;Motion Fraktion BDP/CVP (Martin Schneider, BDP/Claudio Fischer CVP): Leistungsverträge IkuR vors Volk!;2019-61;Beschlossen;Verschiebung
28.02.2019;6;Motion Fraktion FDP (Barbara Freiburghaus, FDP): Nachbessern des Leistungsvertrages: Eskalationskaskade und temporäre Schliessung vorsehen;2019-62;Beschlossen;Verschiebung
28.02.2019;7;Interpellation Fraktion SVP (Alexander Feuz/Rudolf Friedli, SVP): Nachhaken zum Vorstoss „Umwegrendite der Reithalle“ von Michael Burkhard: Wie hoch sind der Kollateralschaden und die negativen Faktoren?;2019-63;Beschlossen;Verschiebung
28.02.2019;8;Motion Fraktion SVP (Alexander Feuz, SVP): Schluss mit der Hausbesetzer-Terrorszene: Sofortige Schliessung der Reithalle und Kündigung der bestehenden Leistungsverträge.;2019-64;Beschlossen;Verschiebung
28.02.2019;9;"Aufnahme Fusionsabklärungen; Projektkredit";2019-65;Beschlossen;Genehmigung
28.02.2019;10;Interfraktionelle Motion FDP/JF, SP/JUSO, GLP/JGLP, GFL/EVP, BDP/CVP (Claudine Esseiva, FDP/Ingrid Kissling-Näf, SP/Melanie Mettler, GLP, Brigitte Hilty, GFL/Matthias Stürmer, EVP/Michael Daphinoff, CVP): Für eine zukunftsfähige Kernregion/Stadtregion;2019-66;Beschlossen;Erheblicherkl.
28.02.2019;11;Motion Luzius Theiler (GaP): Die Stadt durch Dezentralisierung fusionsfähig gestalten;2019-67;Beschlossen;Erheblicherkl. als Postulat
28.02.2019;12;Motion Fraktion GFL/EVP (Lukas Gutzwiller, GLP): Stadt der Beteiligung: Breitere Abstützung der Quartierkommissionen;2019-68;Beschlossen;Erheblicherkl. als Postulat
28.02.2019;13;Agglomerationskommission (AKO): Tätigkeitsbericht für das Jahr 2018;2019-69;Beschlossen;Kenntnis
28.02.2019;14;Bericht des Gemeinderats an den Stadtrat zur Agglomerationspolitik 2018;2019-70;Beschlossen;Kenntnis
28.02.2019;2;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): KaWeDe: muss das grosse Becken wirklich verkleinert werden? Welche Anlage wollen die Kinder und Jugendlichen? Werden diese Wünsche im Wettbewerb die gebotene Beachtung finden?;2019-58;Beschlossen;Kenntnis
28.02.2019;3;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Kann die Schützenmatte im Frühjahr wieder stattfinden?;2019-59;Beschlossen;Kenntnis
28.02.2019;1;Kleine Anfrage Henri Beuchat (SVP): Kerzen vor der Polizeiwache Waisenhausplatz – politische Mahnwache räumen;2019-57;Beschlossen;Kenntnis
28.02.2019;15;"Interfraktionelle Motion SP, AL/GPD-DA/PdA+, GB/JA!, GLP (Martin Krebs, SP/Christa Ammann, AL/Seraina Patzen, JA!/Melanie Mettler, GLP/Matthias Stürmer, EVP): Standplätze für Fahrende – Keine Räumung im Buech!; Begründungsbericht Punkt 1/Abschreibung Punkt 2";2019-71;Beschlossen;Verschiebung
28.02.2019;16;Motion Fraktion AL/GPB-DA/PdA+ (Luzius Theiler, GPB-DA): Aufhebung der „Maulkorbrichtlinien“ zu Äusserungen städtischer MitarbeiterInnen in der Öffentlichkeit;2019-72;Beschlossen;Verschiebung
28.02.2019;17;Motion Fraktion SVP (Alexander Feuz, SVP): Zwischennutzungen städtischer Areale: Gleich lange Spiesse für alle! Transparenz und nicht rotgrüne Klientelpolitik ist gefordert!;2019-73;Beschlossen;Verschiebung
28.02.2019;18;Interfraktionelle Motion GB/JA!, GFL/EVP, AL/GPB-DA/PdA (Eva Krattiger, JA!/Katharina Gallizzi, GB/Marcel Wüthrich GFL/Matthias Stürmer, EVP/Daniel Egloff, PdA/Luzius Theiler, GPB-DA/Christa Ammann, AL/Tamara Funiciello, JUSO): Keine Rentengelder für die Kriegsmaterialproduktion!;2019-74;Beschlossen;Verschiebung
28.02.2019;19;Motion Fraktion SP/JUSO (Tamara Funiciello, JUSO/Johannes Wartenweiler, SP/Mohamed Abdirahim, JUSO): Hot Dogs für alle statt für wenige!;2019-75;Beschlossen;Verschiebung
28.02.2019;20;Interfraktionelle Motion FDP/JF, BDP/CVP, GLP/JGLP, GFL/EVP, SP/JUSO (Thomas Berger, JF/Vivianne Esseiva, FDP/Lionel Gaudy, BDP/Milena Daphinoff, CVP/Manuel C. Widmer, GFL/Lukas Meier, SP/Maurice Lindgren, JGLP): Gastronomiebetriebe in Stadtberner Bädern vom Badebetrieb trennen;2019-76;Beschlossen;Verschiebung
14.02.2019;5;Dringliche interfraktionelle Interpellation GFL/EVP, GB/JA!, SP/JUSO, GLP/JGLP, SVP, FDP/JF (Lukas Gutzwiller, Bettina Jans, EVP/Ursina Anderegg, GB/Katharina Altas, SP/Marianne Schild, GLP/Alexander Feuz, SVP/Ruth Altmann, FDP): Wie steht der Gemeinderat zu einer Förderung des Puppentheaters?;2019-40;Beschlossen;Kenntnis
14.02.2019;4;Dringliche Interpellation Fraktion FDP/JF (Tom Berger, JF/Claudine Esseiva, FDP): UNO-Klimakonferenz – eine Chance für Bern;2019-39;Beschlossen;Kenntnis
14.02.2019;1;Kleine Anfrage Fraktion SVP (Alexander Feuz/Hans Ulrich Gränicher, SVP): Nein zu Tempo 30 auf der Monbijoubrücke und der Aufhebung der Unterführung Eigerstrasse: Fragen zum heutigen Verkehrsregime bezüglich Unfallstatistik, Lärmimmissionen, negativer Auswirkungen auf das Mobilitätsverhalten und der zu erwartenden Kosten;2019-36;Beschlossen;Kenntnis
14.02.2019;2;Kleine Anfrage Ueli Jaisli (SVP): Schneespass im Weyerli: Was kostet der Spass wirklich?;2019-37;Beschlossen;Kenntnis
14.02.2019;6;"Korrektion Bolligenstrasse Nord: Beitrag Stadt Bern; Ausführungskredit";2019-41;Beschlossen;Bewilligung
14.02.2019;11;"Antrag Henri-Charles Beuchat (SVP) auf Änderung des Geschäftsreglements des Stadtrats; Vertraulichkeit Aufsichtskommission (AK) aufheben und Neuausrichtung Aufsichtskommission";2019-46;Beschlossen;Ablehnung
14.02.2019;10;"Teuerungsausgleich für die städtischen Mitarbeitenden; Nachkredit";2019-45;Beschlossen;Bewilligung
14.02.2019;7;Erwerb von Liegenschaften: Rahmenkredit (Abstimmungsbotschaft);2019-42;Beschlossen;Bewilligung
14.02.2019;12;"Reglement vom 23. Mai 2002 über die Erteilung und Zusicherung des Bürgerrechts der Stadt Bern (Einbürgerungsreglement; EBR; SSSB 121.1), Totalrevision; 1. Lesung";2019-47;Beschlossen;Verschiebung
14.02.2019;3;"Finanzdelegation (FD); Wahl für das Jahr 2019";2019-38;Beschlossen;Wahl
14.02.2019;13;Interfraktionelle Motion GB/JA!, SP (Regula Bühlmann/Cristina Anliker-Mansour, GB/Patrizia Mordini, SP): Einbürgerungen sind kein Privileg!;2019-48;Beschlossen;Verschiebung
14.02.2019;14;Motion Fraktion SP/JUSO (Timur Akçasayar/Patrizia Mordini/Barbara Nyffeler, SP): Neues kantonales Bürgerrechtsgesetz (KBüG): Bei Einbürgerungen in der Stadt Bern auch die zweite Amtssprache anerkennen;2019-49;Beschlossen;Verschiebung
14.02.2019;15;Motion Fraktion GB/JA! (Regula Bühlmann/Cristina Anliker-Mansour, GB): Einbürgerungen im Rahmen der kantonalen Regelung!;2019-50;Beschlossen;Verschiebung
14.02.2019;9;Interpellation Fraktion FDP/JF (Bernhard Eicher, FDP): Nach welchem Verfahren vergibt die Stadt Bern ihre Liegenschaften respektive ihr Bauland?;2019-44;Beschlossen;Kenntnis
14.02.2019;8;Interfraktionelle Interpellation FDP/JF und GB/JA! (Thomas Berger, JF/Lea Bill, GB): Keine Leerstände bei städtischen Gebäuden;2019-43;Beschlossen;Kenntnis
14.02.2019;16;Interpellation Fraktion SVP (Alexander Feuz, SVP): Verweigerung der Mithilfe bei Ausschaffungen: verkommt die Stadt Bern zur rechtsfreien Zone der Schweiz?;2019-51;Beschlossen;Kenntnis
