# Identifier (Identifier der Ressource im Quellsystem des Publishers): Traktanden_SR_2005_bis_2011_CSV
# Titel (Titel der Datei): Traktanden SR 2005 bis 2011 ohne Beschluesse
# Beschreibung (Datei-Informationen): Die Traktandenliste aller Geschaefte zu einer Stadtratssitzung der Stadt Bern.
# Sprache (Sprache in der diese Datei vorliegt): Deutsch
# Erstellt (Datum der Veroeffentlichung dieser Datei): 01.12.2017
# Geaendert (Datum der letzten aenderung dieser Datei): 01.12.2017
# Nutzungsbedingungen (Art der Nutzung und Angabepflicht): Freie Nutzung - Quellenangben ist Pflicht (Autor, Titel und Link zum Datensatz).
# Zugangs-URL (Die URL ueber welche auf die Ressource zugegriffen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd
# Download-URL (URL der Datei um die Ressource direkt heruntergeladen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd/download-stadtraetische-traktanden-und-beschluesse-ogd/traktanden-sr-2005-bis-2011-ohne-beschluesse.txt/download
# Dateigroesse (Angabe in Bytes): 798720
# Dateiformat (Datei Typ und Kuerzel des Formats): CSV
# Autor der Datei (Ein oder mehrere Autoren dieser Datei): Ratssekretariat des Stadtrats der Stadt Bern
# Dateibezogene Zusatzinformationen (Der richtige Umgang und Interpretation die es ggf. zu beruecksichtigen gilt.): Die Datensaetze vom Jahr 2005 bis 2012 enthalten noch keine Beschluesse und die Beschlussnummern sind nicht vollstaendig aufgefuehrt. Weitere Informationen zu den einzelnen Traktanden und Geschaefte finden Sie als PDF Datei unter https://www.bern.ch/politik-und-verwaltung/stadtrat/sitzung-geschaeft.


Traktanden Nr.;Traktandierungstitel;Beschluss Nr.;Traktandumstatus;Datum
1;"Wahl in Schulkommission (Schulkommission Buempliz)  (BSS: Olibet)";SRB 2011-559;Beschlossen;15.12.2011
2;"Protokollgenehmigung (Protokoll Nr. 18 vom 20. Oktober 2011 und  Nr. 19 vom 3. November 2011)";SRB 2011-560;Beschlossen;15.12.2011
3;"Investitionsvorhaben KWO plus: Teilprojekt ""Aufwertung Kraftwerke Handeck 2 und Innertkirchen 1"" der Kraftwerke Oberhasli AG; Ermaechtigung Energie Wasser Bern, ewb (Abstimmungsbotschaft)  (FSU: Schmidt / SUE: Nause)   vorbehaeltlich Verabschiedung in der FSU vom 5. Dezember 2011";SRB 2011-561;Beschlossen;15.12.2011
4;"Motion Fraktion FDP (Christoph Zimmerli): Staumauer am Grimsel: Ein politischer Weg aus der Sackgasse; Ablehnung/Annahme als Postulat/ Pruefungsbericht  (SUE: Nause)";SRB 2011-562;Beschlossen;15.12.2011
5;"Kleine Anfrage Michael Koepfli (GLP): Stromverbrauch der oeffentlichen Weihnachtsbeleuchtung in der Stadt Bern  (SUE: Nause)";SRB 2011-563;Beschlossen;15.12.2011
6;"Kleine Anfrage Mario Imhof (FDP): Missachtung des Stadtratsbeschlusses vom 19. August 2010 zur Dringlichen Motion Fraktion FDP - Neugestaltung Abgang Neuengass-Unterfuehrung (FPI: Hayoz)  verschoben vom 17. November und 1. Dezember 2011";SRB 2011-564;Beschlossen;15.12.2011
7;"Motion Fraktion FDP (Mario Imhof, FDP) vom 6. Mai 2010: Neugestaltung Abgang Neuengass-Unterfuehrung; Begruendungsbericht  (FPI: Hayoz) verschoben vom 17. November und 1. Dezember 2011";SRB 2011-565;Beschlossen;15.12.2011
8;"Dringliche Interpellation Fraktion SVPplus (Rudolf Friedli, SVP): Wurde Herrn K. das Unterschlagen (zu) leicht gemacht - wie gross ist der Schaden fuer die Stadt Bern?  (FPI: Hayoz)";SRB 2011-566;Beschlossen;15.12.2011
9;"Motion Martin Schneider (BDP): Solarzellen auf staedtische Daecher!; Ablehnung / Annahme als Postulat  (FPI: Hayoz)  verschoben vom 3. und 17. November sowie 1. Dezember 2011";SRB 2011-567;Beschlossen;15.12.2011
10;"Interpellation Fraktion GB/JA! (Monika Haechler/Stephanie Penher, GB): Aula statt Spielplatz. Wie wurde die Laenggassbevoelkerung in das Projekt einbezogen? (FPI: Hayoz)  verschoben vom 3. und 17. November sowie 1. Dezember 2011";SRB 2011-568;Beschlossen;15.12.2011
